swift_code,id,bank,city,branch
BKMEKWKW,1,AHLI UNITED BANK K.S.C.P.,KUWAIT,None
ABKKKWKW,2,AL AHLI BANK OF KUWAIT K.S.C.P,KUWAIT,None
AMKCKWK1,3,AL MAL INVESTMENT COMPANY K.S.C. (CLOSED),SAFAT,None
AMIEKWKW1ME,4,AL MULLA INTERNATIONAL EXCHANGE CO,KUWAIT,(ALMULLA2)
AMIEKWKW2ME,5,AL MULLA INTERNATIONAL EXCHANGE CO,KUWAIT,(ALMULLA3)
AMIEKWKW,6,AL MULLA INTERNATIONAL EXCHANGE CO,KUWAIT,None
COMBKWKWA38,54,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(FREE TRADE ZONE BRANCH)
COMBKWKWGTT,55,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(GUARANTEES DEPARTMENT)
COMBKWKWA64,56,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(HADIYA)
COMBKWKWINT,57,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(INTERNATIONAL DIVISION)
COMBKWKWA63,58,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(JELEEB SHOYOKH)
COMBKWKWA43,59,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(KUWAIT MAGIC)
COMBKWKWLCS,60,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(LETTERS OF CREDIT DEPARTMENT)
COMBKWKWA44,61,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(MANSOURIYA)
COMBKWKWA31,62,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(MINISTRIES COMPLEX BRANCH)
COMBKWKWA47,63,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(PHONE BANKING SERVICES)
COMBKWKWA40,64,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(PRIVATE BANKING UNIT)
COMBKWKWSWI,65,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(S.W.I.F.T. SUPPORT DEPARTMENT)
COMBKWKWA54,66,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(SABAH AL SALEM)
COMBKWKWA51,67,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(SALWA BRANCH)
COMBKWKWA55,68,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(SOUTH SURRA)
COMBKWKWTLX,69,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(TELEX DEPARTMENT)
COMBKWKWA53,70,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(TRADERS MALL)
COMBKWKWA42,71,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,(UM AL HAIMAN BRANCH)
COMBKWKW,72,COMMERCIAL BANK OF KUWAIT KPSC,THE,KUWAIT,None
COMBKWKWA24,73,COMMERCIAL BANK OF KUWAIT KPSC,THE,MESSILAH,(MESSILAH BRANCH)
COMBKWKWA65,74,COMMERCIAL BANK OF KUWAIT KPSC,THE,MESSILAH,None
COMBKWKWA17,75,COMMERCIAL BANK OF KUWAIT KPSC,THE,MINA ABDULLA,(MINA ABDULLA BRANCH)
COMBKWKWA10,76,COMMERCIAL BANK OF KUWAIT KPSC,THE,OMARIA,(OMARIYA BRANCH)
COMBKWKWA67,77,COMMERCIAL BANK OF KUWAIT KPSC,THE,REGAEE,None
COMBKWKWA18,78,COMMERCIAL BANK OF KUWAIT KPSC,THE,RUMAITHIYA,(RUMAITHIYA BRANCH)
COMBKWKWA12,79,COMMERCIAL BANK OF KUWAIT KPSC,THE,SABAHIYA,(SABAHIYA BRANCH)
COMBKWKWA05,80,COMMERCIAL BANK OF KUWAIT KPSC,THE,SAFAT,(ABD. MUBARAK BRANCH)
COMBKWKWA01,81,COMMERCIAL BANK OF KUWAIT KPSC,THE,SAFAT,(HEAD OFFICE BRANCH)
COMBKWKWB00,82,COMMERCIAL BANK OF KUWAIT KPSC,THE,SAFAT,(NEW HEAD OFFICE BRANCH)
COMBKWKWA30,83,COMMERCIAL BANK OF KUWAIT KPSC,THE,SAFAT,(SALHIYA BRANCH)
COMBKWKWA33,84,COMMERCIAL BANK OF KUWAIT KPSC,THE,SALMIYA,(RAS SALMIYA BRANCH)
COMBKWKWA23,85,COMMERCIAL BANK OF KUWAIT KPSC,THE,SALMIYA,(SALMIYA BRANCH)
COMBKWKWA48,86,COMMERCIAL BANK OF KUWAIT KPSC,THE,SALMIYA,(SOUK AL SALMIYA BRANCH)
COMBKWKWA26,87,COMMERCIAL BANK OF KUWAIT KPSC,THE,SHARQ,(AHMAD AL JABER STREET)
COMBKWKWA39,88,COMMERCIAL BANK OF KUWAIT KPSC,THE,SHARQ,(SOUK SHARQ BRANCH)
COMBKWKWA21,89,COMMERCIAL BANK OF KUWAIT KPSC,THE,SHUWAIKH,(SHUWAIKH BRANCH)
COMBKWKWA28,90,COMMERCIAL BANK OF KUWAIT KPSC,THE,SHUWAIKH,(VEGETABLE MARKET BRANCH)
COMBKWKWA13,91,COMMERCIAL BANK OF KUWAIT KPSC,THE,SULAIBIKHAT,(SULAIBIKHAT BRANCH)
COMBKWKWA46,92,COMMERCIAL BANK OF KUWAIT KPSC,THE,WEST MISHRIF,(WEST MISHRIF BRANCH)
DOHBKWKW,93,DOHA BANK,KUWAIT,None
EFHIKWK1,94,EFG HERMES IFA,KUWAIT,None
EQPCKWKW,95,EQUATE PETROCHEMICAL COMPANY KSCC,SALMIYA,None
ETEMKWKW,96,ETEMADCO EXCHANGE COMPANY W.L.L.,KUWAIT,None
NBADKWKWTFO,97,FIRST ABU DHABI BANK (FORMERLY NATIONAL BANK OF ABU DHABI),SAFAT,(TRADE FINANCE DEPARTMENT, NATIONAL BANK OF ABU DHABI, KUWAIT)
NBADKWKW,98,FIRST ABU DHABI BANK (FORMERLY NATIONAL BANK OF ABU DHABI),SAFAT,None
FSBOKWK1,99,FIRST SECURITIES BROKERAGE COMPANY K.S.C.C,KUWAIT,None
GIHKKWKWCLT,100,GLOBAL INVESTMENT HOUSE,KUWAIT,(GLOBAL INVESTMENT HOUSE - CLIENT ACCOUNT)
GIHKKWKW,101,GLOBAL INVESTMENT HOUSE,SAFAT,None
GULBKWKWTFS,102,GULF BANK, K.S.C.,KUWAIT,(TRADE FINANCE)
GULBKWKWTRO,103,GULF BANK, K.S.C.,KUWAIT,(TREASURY OPERATIONS)
GULBKWKWVOS,104,GULF BANK, K.S.C.,KUWAIT,(VOSTRO/KD DEPARTMENT)
GULBKWKW,105,GULF BANK, K.S.C.,KUWAIT,None
GCCOKWKW,106,GULF CUSTODY COMPANY,SAFAT,None
GCORKWKW,107,GULF INVESTMENT CORPORATION,KUWAIT,None
HBMEKWKW,108,HSBC BANK MIDDLE EAST LIMITED,KUWAIT,None
ICBKKWKW,109,ICBC KUWAIT BRANCH,KUWAIT,None
IPGHKWKW,110,INDEPENDENT PETROLEUM GROUP,JABRIYA,None
IBKUKWKW,111,INDUSTRIAL BANK OF KUWAIT K.S.C., THE,KUWAIT,None
IFLCKWKW,112,INTERNATIONAL FINANCIAL LINE EXCHANGE CO.K.S.C.(CLOSED),SAFAT,None
TIDCKWKW,113,INVESTMENT DAR COMPANY K.S.C.C, THE,KUWAIT,None
KMCOKWKW,114,KAMCO INVESTMENT COMPANY K.S.C. (PUBLIC),SAFAT,None
KFFBKWK1,115,KFIC FINANCIAL BROKERAGE,KUWAIT,None
KACCKWKW,116,KUWAIT AIRWAYS CORPORATION,SAFAT,None
KBEXKWKF,117,KUWAIT BAHRAIN INTERNATIONAL EXCHANGE COMPANY KSC, KUWAIT,KUWAIT,None
KCCKKWKW,118,KUWAIT CLEARING COMPANY S.A.K.,KUWAIT,None
KFHOKWKW,119,KUWAIT FINANCE HOUSE (K.S.C.),SAFAT,None
KFCEKWKW,120,KUWAIT FINANCIAL CENTRE S.A.K.,KUWAIT,None
KFAEKWKW,121,KUWAIT FUND FOR ARAB ECONOMIC DEVELOPMENT,KUWAIT,None
KIICKWK1,122,KUWAIT INDIA INTERNATIONAL EXCHANGE COMPANY,SAFAT,None
KWIBKWKW,123,KUWAIT INTERNATIONAL BANK,KUWAIT,None
KUIFKWK1,124,KUWAIT INTERNATIONAL FINANCE CO. S.A.K.,KUWAIT,None
KIAKKWKW,125,KUWAIT INVESTMENT AUTHORITY,KUWAIT,None
KIAKKWKB,126,KUWAIT INVESTMENT AUTHORITY,SAFAT,None
KICOKWKW,127,KUWAIT INVESTMENT COMPANY (S.A.K.),KUWAIT,None
KPCOKWKW,128,KUWAIT PETROLEUM CORPORATION,SAFAT,None
XKUWKWK1,129,KUWAIT STOCK EXCHANGE,SAFAT,None
MSHQKWKW,130,MASHREQBANK PSC.,KUWAIT,None
NBOKKWKW,131,NATIONAL BANK OF KUWAIT S.A.K.P.,KUWAIT,None
NICKKWKW,132,NATIONAL INVESTMENTS COMPANY K.S.C. (CLOSED),SAFAT,None
NFICKWKW,133,NOOR FINANCIAL INVESTMENT COMPANY,KUWAIT,None
OMANKWKW,134,OMAN EXCHANGE CO. WLL,SAFAT,None
PISUKWKW,135,PUBLIC INSTITUTION FOR SOCIAL SECURITY,THE,KUWAIT,None
QNBAKWKW,136,QATAR NATIONAL BANK,KUWAIT,None
SACBKWK1,137,SAVINGS AND CREDIT BANK,SAFAT,None
SHFBKWK1,138,SHARQ FINANCIAL BROKERAGE CO.,KUWAIT,None
UAEXKWKW,139,UAE EXCHANGE CENTRE WLL,SAFAT,None
UNBEKWKW,140,UNION NATIONAL BANK-KUWAIT,KUWAIT,None
UNSOKWK1,141,UNION SECURITIES BROKERAGE. CO,KUWAIT,None
UASCKWKW,142,UNITED ARAB SHIPPING COMPANY S.A.G,SAFAT,None
UIAWKWKW,143,UNITED INTERNATIONAL AVIATION SERVICES CO. W.L.L,SHUWAIKH,None
WRBAKWKW,144,WARBA BANK,KUWAIT,None
ALGWKWKW,145,YUSUF AHMED ALGHANIM AND SONS WLL,SHUWAIKH,None
